,DISTRICT,STREET ID,STREET NAME,SEC ID,BEG LOCATION,END LOCATION,AREA (SqFt),PCI DATE,PCI,Last MnR Date,Last MnR Treatment,Renovation Age (Years),Last Work Year,Treatment Category,Functional Classification,Length (feet),Width (feet),Surface
636050060,['8'],636050,BENVENUE AVE,060,DWIGHT WAY,RUSSELL ST,95760,2022-07-28,30,1998-12-08,MILL AND OVERLAY W/FABRIC,23.0,1998.0,3 - Heavy Rehab,Residential/Local,2660,36,Overlay of asphalt over asphalt
636050065,['8'],636050,BENVENUE AVE,065,RUSSELL ST,ASHBY AVE,19080,2022-07-28,36,1998-12-08,MILL AND OVERLAY W/FABRIC,23.0,1998.0,3 - Heavy Rehab,Residential/Local,530,36,Overlay of asphalt over asphalt
639050070,['8'],639050,BENVENUE AVE,070,ASHBY AVE,CITY LIMIT (WOOLSEY ST),41940,2022-07-28,45,,,,,,Residential/Local,1165,36,Overlay of asphalt over asphalt
322052045,['1'],322052,BERKELEY WAY,045,CHESTNUT ST,WEST ST PATHWAY,10440,2022-07-21,42,1998-08-10,MILL AND OVERLAY W/FABRIC,23.0,1998.0,3 - Heavy Rehab,Residential/Local,435,24,Overlay of asphalt over asphalt
322052046,['1'],322052,BERKELEY WAY,046,WEST ST PATHWAY,SACRAMENTO ST,39600,2022-07-21,19,1998-08-10,MILL AND OVERLAY W/FABRIC,23.0,1998.0,3 - Heavy Rehab,Residential/Local,1320,30,Overlay of asphalt over asphalt
423052050,['1'],423052,BERKELEY WAY,050,SACRAMENTO ST,GRANT ST,61440,2022-07-21,39,1997-07-11,MILL AND OVERLAY W/FABRIC,25.0,1997.0,3 - Heavy Rehab,Residential/Local,1920,32,Overlay of asphalt over asphalt
423052058,['1'],423052,BERKELEY WAY,058,GRANT ST,MARTIN LUTHER KING JR WAY,24120,2022-07-21,48,2004-12-15,RECONSTRUCT SURFACE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,670,36,Asphalt
424052060,['4'],424052,BERKELEY WAY,060,MARTIN LUTHER KING JR WAY,MILVIA ST,23800,2022-07-27,60,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Residential/Local,700,34,Overlay of asphalt over asphalt
524052063,['4'],524052,BERKELEY WAY,063,MILVIA ST,SHATTUCK AVE,25800,2022-07-27,70,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Residential/Local,645,40,Overlay of asphalt over asphalt
524052065,['4'],524052,BERKELEY WAY,065,SHATTUCK AVE,OXFORD ST,34780,2022-07-27,72,2012-10-02,MILL AND THICK OVERLAY,9.0,2012.0,3 - Heavy Rehab,Residential/Local,740,47,Overlay of asphalt over asphalt
418054055,['5'],418054,BERRYMAN ST,055,WEST END,MARTIN LUTHER KING JR WAY,17820,2022-07-14,74,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,495,36,Overlay of asphalt over asphalt
417054060,['5'],417054,BERRYMAN ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,23040,2022-07-14,76,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,640,36,Overlay of asphalt over asphalt
